Produto,Preço,Fornecedor,Data
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",9128.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",8358.89,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Ultramarino",7368.89,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Rosa",7588.91,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Ultramarino",8138.9,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Verde-Acinzentado",8358.89,Magazine Luiza,2025-05-19
"iPhone 16E Apple 256GB, Câmera 48MP, Tela Super Retina XDR 6,1"", Branco",5804.39,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 512GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Branco",12978.9,Magazine Luiza,2025-05-19
"Apple iPhone 16 256GB Preto 6,1"" 48MP iOS 5G",6209.1,Magazine Luiza,2025-05-19
"Apple iPhone 16e 512GB Branco 6,1"" 48MP iOS 5G",6799.0,Magazine Luiza,2025-05-19
"Apple iPhone 16 Pro 128GB Titânio Preto 6,3"" 48MP iOS 5G",8549.1,Magazine Luiza,2025-05-19
Apple iPhone 16 Pro 1TB Titânio Natural,13579.03,Magazine Luiza,2025-05-19
Apple iPhone 16 Pro 256GB Titânio Natural,10999.0,Magazine Luiza,2025-05-19
"iPhone 16e Apple (512GB) Branco, Tela de 6,1"", 5G e Câmera de 48 MP",7430.16,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",10008.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",8358.89,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio-Deserto",10118.9,Magazine Luiza,2025-05-19
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Branco",7698.91,Magazine Luiza,2025-05-19
"iPhone 16 Apple 512GB, Câmera Dupla de 48MP, Tela 6.1"", Preto",9128.9,Magazine Luiza,2025-05-19
"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Ultramarino",6818.9,Magazine Luiza,2025-05-19
"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Verde-acinzentado",6818.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Natural",10118.9,Magazine Luiza,2025-05-19
